item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
21,ig2en-68257d00c6,ig->en,health,Ọ dịghị na-enye ọgwụ a n'ime ụmụaka nta 5 afọ.,Do not give this medication to children under 5 years.,,,,,,,,,,
22,en2ig-beaa012397,en->ig,blank,,,,,,,,,,,,
23,en2ig-ae844cbc79,en->ig,health,Take one tablet twice a day after eating.,Were otu mbadamba nkume ugboro abụọ kwa ụbọchị mgbe i risịrị nri.,,,,,,,,,,
24,en2ig-5ca0410f16,en->ig,money,"Your balance is 12,500 naira.","Otú i si ele ihe anya dị puku iri na abụọ, narị ise na iri ise.",,,,,,,,,,
25,en2ig-a3a4e1241e,en->ig,hashtag,Join us tonight #VideofyLive for the broadcast.,Anyị na - aga n'ebe a na - akpọsa ngwá ahịa n'ebe a na - akpọsa ngwá ahịa.,,,,,,,,,,
26,ig2en-cfa7a8c72e,ig->en,account,IHE ndekọ e nwetara n'aka mmadụ 01279 n'Ụlọ Akụ̀ Ndị Mbụ.,THE report from 012 was found at First Bank.,,,,,,,,,,
27,ig2en-d8415c142f,ig->en,mixed,Onye na - ere ahịa na - ezitere ya ego ahụ tupu ya agawa n'ebe a na - edebe ihe n'Ịntanet,A businessman sends the money before going to the Web site,,,,,,,,,,
28,ig2en-0fe8fda22c,ig->en,money,M na-enweta ego ị na-enweta.,I get the money you get.,,,,,,,,,,
29,ig2en-c3a8515c9f,ig->en,url,Read more at https://consummate7.com/help tupu ị na-akpọ.,Read more at https://consummate7.com/help before you call.,,,,,,,,,,
30,en2ig-fd0df57c1a,en->ig,datetime,The event starts at four thirty on the fifteenth of March.,Ihe na-amalite na 4 thirty on March 15th.,,,,,,,,,,
31,ig2en-3452b9ed68,ig->en,negation,Ọ bịabeghị n'ọfịs ahụ.,He had not come to the office.,,,,,,,,,,
32,en2ig-4f245e6f15,en->ig,url,Read more at https://consummate7.com/help before you call.,Read more at https://consummate7.com/help tupu ị na-akpọ.,,,,,,,,,,
33,ig2en-57aff266da,ig->en,phone,Kpọọ m na 08031234567 mgbe ị na-abịa.,Call me at 08031234567 when you arrive.,,,,,,,,,,
34,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. Ka ọ bụrụ na onye ọ bụla bụ na ụlọ ahịa na-enweta ha, na-akpọ m ma ọ bụrụ na e nwere ihe ọ bụla nsogbu na nnyefe.",,,,,,,,,,
35,ig2en-36101fe198,ig->en,money,Ọnụ ego ya bụ puku dollar abụọ n'ime akpa ọ bụla.,"The price was 2,000 dollars per bag.",,,,,,,,,,
36,ig2en-13a4a68834,ig->en,entity,M na-akpọ Zoe na m na-arụ ọrụ na Lagos.,I call Zoe and I work in Lagos.,,,,,,,,,,
37,en2ig-7f7fb4727d,en->ig,punctuation,???!!!,Ọnụ ọgụgụ:,,,,,,,,,,
38,ig2en-cb79052ee0,ig->en,money,"Ọnụahịa bụ 2,000 naira kwa akpa.","Price is 2,000 rupees per bag.",,,,,,,,,,
39,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,Ọnụ ego ya bụ puku dollar abụọ n'ime akpa ọ bụla.,,,,,,,,,,
40,en2ig-c369b7d49a,en->ig,emoji-text,Congratulations on the new baby 🎉 we are very happy for you.,"N'ihi na ị na-agba ọsọ, anyị na-adịghị mma n'ihi na ị.",,,,,,,,,,
41,ig2en-a7b688c638,ig->en,business,Ọ dị anyị mkpa ịbịanye aka ná nkwekọrịta ahụ tupu ngwụsị ọnwa.,We need to sign the treaty before the end of the month.,,,,,,,,,,
42,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Lelee 45,000 naira ka m akaụntụ taa.",,,,,,,,,,
43,ig2en-4fa4004bdb,ig->en,negation,Unu ezipụla ụgwọ ahụ a kwụrụ unu n'oge ahụ.,Do not send out the reward back to you at that time.,,,,,,,,,,
44,ig2en-237a0f3413,ig->en,money,E nyeghị m ego ahụ i zitere m.,I didn't have the money you sent me.,,,,,,,,,,
45,ig2en-51e9d3e998,ig->en,code-only,OTP-483920 ọkọlọtọ,OTP-483920 standard,,,,,,,,,,
46,en2ig-52359bea24,en->ig,money,I have received the money you sent.,Enwetawo m ego ahụ i zigara m.,,,,,,,,,,
47,ig2en-06ce83c1c7,ig->en,datetime,Nyocha a na-agba ọsọ na 15 March na 4:30.,This review runs on 15 March at 4:30.,,,,,,,,,,
48,ig2en-00707e2322,ig->en,multi,M na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ.,I drive speed and drive speed and drive speed and drive speed.,,,,,,,,,,
49,ig2en-6687868f95,ig->en,entity,"Aha m bụ Christianse, mụnwa na - arụkwa ọrụ na Lagos.","My name was Christianse, and I worked in Lagos.",,,,,,,,,,
50,en2ig-1cdc989f72,en->ig,mixed,Abeg send the money before 5pm 🙏,Onye na - ere ahịa na - ezitere ya ego ahụ tupu ya agawa n'ebe a na - edebe ihe n'Ịntanet,,,,,,,,,,
51,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,Ọ bụ ezie na m ga-abụghị.,,,,,,,,,,
52,ig2en-6655497519,ig->en,punctuation,Ọnụ ọgụgụ:,Number of items:,,,,,,,,,,
53,ig2en-03e9f74416,ig->en,emoji-text,"N'ihi na ị na-agba ọsọ, anyị na-adịghị mma n'ihi na ị.","Because you are running fast, we are not good for you.",,,,,,,,,,
54,ig2en-8c8e98f9fe,ig->en,agriculture,"Mmiri ozuzo ahụ ga - amalite n'ọnwa sochirinụ, ya mere kwadebe ala ahụ ugbu a.","The rain would begin the following month, so prepare the land now.",,,,,,,,,,
55,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Biko ziga mmadụ 45,000 n'ihe ndekọ m taa.",,,,,,,,,,
56,en2ig-7f7fb4727d,en->ig,punctuation,???!!!,?!,,,,,,,,,,
57,ig2en-522459e51e,ig->en,emoji-only,,,,,,,,,,,,
58,en2ig-ae844cbc79,en->ig,health,Take one tablet twice a day after eating.,Tinye otu tablet abụọ kwa ụbọchị mgbe nri.,,,,,,,,,,
59,ig2en-b5906baae0,ig->en,phone,"Mgbe ị rutere, kpọọ m na 0312 (onye dị otu narị puku na puku iri anọ na puku isii).","When you arrive, call me in 003 (U.S.).",,,,,,,,,,
60,ig2en-e880aac058,ig->en,blank,,,,,,,,,,,,
61,ig2en-44fa271665,ig->en,hashtag,Anyị na - aga n'ebe a na - akpọsa ngwá ahịa n'ebe a na - akpọsa ngwá ahịa.,We go to the advertising station.,,,,,,,,,,
62,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,Usoro nchịkọta gị bụ 483920.,,,,,,,,,,
63,en2ig-7f445167b7,en->ig,entity,Adebayo travelled from Abeokuta to Kano last night.,Adebayo na-aga site Abeokuta ka Kano na-aga n'oge gara aga.,,,,,,,,,,
64,ig2en-a699296234,ig->en,otp,"Ihe ị ga - eme bụ nke ị na - agaghị echefu echefu, ya bụ, nke fọrọ nke nta ka o ruo otu narị na iri anọ na asatọ.","You can do something that you will never forget, that is, nearly 180.",,,,,,,,,,
65,ig2en-b5ae958e0f,ig->en,broadcast,"Good morning niile, na-atụ anya na a broadcast.","Good morning all, looking forward to a broadcast.",,,,,,,,,,
66,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú ị na-arụ ọrụ n'oge a?,,,,,,,,,,
67,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Unu emeela maka ozi unu. Agwara m ndị na - ere ihe na ngwá ahịa ndị a ga - abịa n'ụtụtụ Friday. Biko, hụ na mmadụ nọ n'ụlọ ahịa ahụ ịnara ha, ma jụọ m ma è nwere nsogbu dị n'ihe ọmụmụ ahụ.",,,,,,,,,,
68,ig2en-86523e8725,ig->en,business,"Ọzọkwa, anyị ga-akwụ ụgwọ n'ihu ọnwa a.","Additionally, we will pay in advance this month.",,,,,,,,,,
69,ig2en-03119f6c94,ig->en,negation,Ọ bụghị na-abịa na ụlọ ọrụ.,Do not come to the company.,,,,,,,,,,
70,en2ig-447f85809e,en->ig,code-only,OTP-483920,OTP-483920 ọkọlọtọ,,,,,,,,,,
71,ig2en-e0fcbfc55a,ig->en,conversation,Olee otú ị na-arụ ọrụ n'oge a?,How do you work during this time?,,,,,,,,,,
72,en2ig-ea8d3c081a,en->ig,conversation,Please send me the address before you leave.,Biko ziganụ m adres ahụ tupu unu alaa.,,,,,,,,,,
73,ig2en-f5e9aa6875,ig->en,health,Enyela nwatakịrị na - erubeghị afọ ise ọgwụ a.,Don't give this medication to a child under five years of age.,,,,,,,,,,
74,ig2en-5c3cd15a91,ig->en,url,I nwekwara ike ịgụkwu ihe ndị ọzọ n'akwụkwọ anyị tupu gị akpọọ mmadụ ka o nyere gị aka.,You can also read more information in our publications before inviting someone to help you.,,,,,,,,,,
75,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,"Mgbe ị rutere, kpọọ m na 0312 (onye dị otu narị puku na puku iri anọ na puku isii).",,,,,,,,,,
76,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","Good morning niile, na-atụ anya na a broadcast.",,,,,,,,,,
77,ig2en-ba37825a99,ig->en,number-only,enyi m nwoke dị narị puku anọ na iri ise,"With my boyfriend, there were 450",,,,,,,,,,
78,ig2en-bd4bf1aec2,ig->en,money,"Ọnọdụ gị bụ 12,500 naira.","Your condition is 12,500 naira.",,,,,,,,,,
79,en2ig-1e0dacaa75,en->ig,negation,She has not arrived at the office.,Ọ bịabeghị n'ọfịs ahụ.,,,,,,,,,,
80,ig2en-85df2842a8,ig->en,multi,"Ọ na-atụ aro, anyị ga-atụ anya na-aga n'oge obere.","It suggests, we will expect to go in a short time.",,,,,,,,,,
81,ig2en-50317c6f9f,ig->en,broadcast,"N'ụtụtụ, onye ọ bụla na - ege ntị n'ozi ọma a, na - anabatakwa ya.","In the morning, everyone listens to and accepts the good news.",,,,,,,,,,
82,en2ig-56d48554a6,en->ig,emoji-only,👍👍,Nnyemaka ngwaọrụ,,,,,,,,,,
83,ig2en-3eb7c9a01d,ig->en,punctuation,?!,!?,,,,,,,,,,
84,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Unu ezipụla ụgwọ ahụ a kwụrụ unu n'oge ahụ.,,,,,,,,,,
85,ig2en-6124885eab,ig->en,long,"Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. Ka ọ bụrụ na onye ọ bụla bụ na ụlọ ahịa na-enweta ha, na-akpọ m ma ọ bụrụ na e nwere ihe ọ bụla nsogbu na nnyefe.","Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. If anyone is in the store to receive them, call me if there is any problem with delivery.",,,,,,,,,,
86,en2ig-3e0b945ac9,en->ig,number-only,45000,enyi m nwoke dị narị puku anọ na iri ise,,,,,,,,,,
87,ig2en-566772181f,ig->en,conversation,Olee otú i si eme ná mgbede a?,How are you doing this evening?,,,,,,,,,,
88,en2ig-bd364bb3b1,en->ig,money,The price is two thousand naira per bag.,"Ọnụahịa bụ 2,000 naira kwa akpa.",,,,,,,,,,
89,ig2en-9458c725e1,ig->en,agriculture,"Ọnwa ga-amalite na ọnwa ọzọ, ya mere na-akwụ ụgwọ ya ugbu a.","The month will start in the next month, so pay it now.",,,,,,,,,,
90,en2ig-4feb83abc7,en->ig,business,We need to sign the agreement before the end of the month.,Ọ dị anyị mkpa ịbịanye aka ná nkwekọrịta ahụ tupu ngwụsị ọnwa.,,,,,,,,,,
91,ig2en-c09a2724b2,ig->en,number-only,45000 nkeji,45000 minutes,,,,,,,,,,
92,ig2en-0e71ed3fd4,ig->en,hashtag,Kpọtụrụ anyị tonight #VideofyLive maka ntụgharị.,Contact us tonight #VideofyLive for translation.,,,,,,,,,,
93,en2ig-447f85809e,en->ig,code-only,OTP-483920,Kèánáhụ́chāghị́ányá,,,,,,,,,,
94,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,"Ihe ị ga - eme bụ nke ị na - agaghị echefu echefu, ya bụ, nke fọrọ nke nta ka o ruo otu narị na iri anọ na asatọ.",,,,,,,,,,
95,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú i si eme ná mgbede a?,,,,,,,,,,
96,ig2en-11c3c2a4b2,ig->en,negation,Ọ bụrụ na ị na-enweghị ịkwụ ụgwọ.,If you do not pay.,,,,,,,,,,
97,ig2en-8c762d366f,ig->en,otp,Usoro nchịkọta gị bụ 483920.,Your registration code is 483920.,,,,,,,,,,
98,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,Ọ bụ ezie na m na-enweta ego ị na-enweta.,,,,,,,,,,
99,ig2en-502d4979ab,ig->en,entity,"Ọ bụ n'abalị bọtara ụbọchị e mere ya, ya esi n'obodo Abekara gawa n'ebe a na - ere ihe ndị mgbe ochie a na - ere ihe ndị e ji esi nri.","It was the night before it was held, and he left the city of Abeta and went to an ancient food store.",,,,,,,,,,
100,ig2en-fa3cb14070,ig->en,money,"Biko ziga mmadụ 45,000 n'ihe ndekọ m taa.","Please send 45,000 people to my report today.",,,,,,,,,,
101,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,ekwughị m na agaghị m abịa.,,,,,,,,,,
102,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,Kpọọ m na 08031234567 mgbe ị na-abịa.,,,,,,,,,,
103,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,IHE ndekọ e nwetara n'aka mmadụ 01279 n'Ụlọ Akụ̀ Ndị Mbụ.,,,,,,,,,,
104,en2ig-4f245e6f15,en->ig,url,Read more at https://consummate7.com/help before you call.,I nwekwara ike ịgụkwu ihe ndị ọzọ n'akwụkwọ anyị tupu gị akpọọ mmadụ ka o nyere gị aka.,,,,,,,,,,
105,en2ig-24d02cbfc3,en->ig,money,I have not received the money you sent.,E nyeghị m ego ahụ i zitere m.,,,,,,,,,,
106,en2ig-a3a4e1241e,en->ig,hashtag,Join us tonight #VideofyLive for the broadcast.,Kpọtụrụ anyị tonight #VideofyLive maka ntụgharị.,,,,,,,,,,
107,en2ig-52359bea24,en->ig,money,I have received the money you sent.,M na-enweta ego ị na-enweta.,,,,,,,,,,
108,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Ọ bụrụ na ị na-enweghị ịkwụ ụgwọ.,,,,,,,,,,
109,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Enyela nwatakịrị na - erubeghị afọ ise ọgwụ a.,,,,,,,,,,
110,ig2en-4cc42d0949,ig->en,datetime,Ihe omume ahụ malitere n'abalị iri atọ n'ọnwa Mach.,"That event began on March 30, in March.",,,,,,,,,,
111,ig2en-0b4bffbcc9,ig->en,emoji-text,Obi na - adị anyị ezigbo ụtọ ma anyị cheta nwa ọhụrụ anyị mụrụ ọhụrụ.,How happy we are when we think of our newborn baby!,,,,,,,,,,
112,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,Ịkwụ ụgwọ akaụntụ 0123456789 na First Bank.,,,,,,,,,,
113,ig2en-dcda269d75,ig->en,health,Were otu mbadamba nkume ugboro abụọ kwa ụbọchị mgbe i risịrị nri.,Take one tablet twice each day after a meal.,,,,,,,,,,
114,ig2en-e880aac058,ig->en,blank,,,,,,,,,,,,
115,en2ig-56d48554a6,en->ig,emoji-only,👍👍,,,,,,,,,,,
116,ig2en-fc7e7cd156,ig->en,negation,ekwughị m na agaghị m abịa.,I didn't say that I wouldn't come.,,,,,,,,,,
117,en2ig-c369b7d49a,en->ig,emoji-text,Congratulations on the new baby 🎉 we are very happy for you.,Obi na - adị anyị ezigbo ụtọ ma anyị cheta nwa ọhụrụ anyị mụrụ ọhụrụ.,,,,,,,,,,
118,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","N'ụtụtụ, onye ọ bụla na - ege ntị n'ozi ọma a, na - anabatakwa ya.",,,,,,,,,,
119,en2ig-1e0dacaa75,en->ig,negation,She has not arrived at the office.,Ọ bụghị na-abịa na ụlọ ọrụ.,,,,,,,,,,
120,ig2en-6dd02214f6,ig->en,datetime,Ihe na-amalite na 4 thirty on March 15th.,It starts on 4 thirty on March 15th.,,,,,,,,,,
121,en2ig-beaa012397,en->ig,blank,,,,,,,,,,,,
122,ig2en-7c8ce65ff8,ig->en,entity,Adebayo na-aga site Abeokuta ka Kano na-aga n'oge gara aga.,Adebayo goes from Abeokuta to Kano and goes in the past.,,,,,,,,,,
123,ig2en-db8de7dd75,ig->en,negation,Ọ bụ ezie na m ga-abụghị.,It is even though I shouldn’t.,,,,,,,,,,
124,en2ig-4feb83abc7,en->ig,business,We need to sign the agreement before the end of the month.,"Ọzọkwa, anyị ga-akwụ ụgwọ n'ihu ọnwa a.",,,,,,,,,,
125,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,"Biko, chere m n'ọnụ ụzọ ámá: m ga - anọ n'ebe ahụ n'isi nso.",,,,,,,,,,
126,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Ọ dịghị na-enye ọgwụ a n'ime ụmụaka nta 5 afọ.,,,,,,,,,,
127,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,M na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ.,,,,,,,,,,
128,ig2en-3fd9f5d532,ig->en,datetime,Ọ bụ n'abalị iri na ise n'ọnwa Mach ka e mere ka ọmụmụ ihe ahụ gaa n'abalị iri na ise n'ọnwa Mach.,"It was March 15, that the meeting was held on March 15.",,,,,,,,,,
129,en2ig-bf253a2628,en->ig,agriculture,"The rains will start next month, so prepare the land now.","Ọnwa ga-amalite na ọnwa ọzọ, ya mere na-akwụ ụgwọ ya ugbu a.",,,,,,,,,,
130,en2ig-ea8d3c081a,en->ig,conversation,Please send me the address before you leave.,Kpọtụrụ anyị na adreesị gị tupu ịgbanwe.,,,,,,,,,,
131,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Ọ bụ n'abalị iri na ise n'ọnwa Mach ka e mere ka ọmụmụ ihe ahụ gaa n'abalị iri na ise n'ọnwa Mach.,,,,,,,,,,
132,en2ig-fede2b0e9f,en->ig,multi,The meeting is cancelled. We will meet tomorrow instead.,"Ọ na-atụ aro, anyị ga-atụ anya na-aga n'oge obere.",,,,,,,,,,
133,ig2en-aba40ffdae,ig->en,money,Ọ bụ ezie na m na-enweta ego ị na-enweta.,It’s even though I get the money you get.,,,,,,,,,,
134,ig2en-7c68c68a33,ig->en,mixed,Abeg na-enye ego tupu 5pm 🙏,Offer deposit before 5pm 🙏,,,,,,,,,,
135,en2ig-fede2b0e9f,en->ig,multi,The meeting is cancelled. We will meet tomorrow instead.,Anyị ga - akwụsị ịbịa ọmụmụ ihe ahụ n'ihi na anyị ga - ezute echi.,,,,,,,,,,
136,ig2en-664d222013,ig->en,long,"Unu emeela maka ozi unu. Agwara m ndị na - ere ihe na ngwá ahịa ndị a ga - abịa n'ụtụtụ Friday. Biko, hụ na mmadụ nọ n'ụlọ ahịa ahụ ịnara ha, ma jụọ m ma è nwere nsogbu dị n'ihe ọmụmụ ahụ.","Thank you for your ministry, and I told the merchants that these items would come on Friday morning. Please see if someone was in the shop to accept them, and ask if there was any problem in the study.",,,,,,,,,,
