item,case_id,direction,category,source_text,translation_to_review,1. Meaning preserved? YES / NO,2. Meaning REVERSED? YES / NO,3. Information omitted? YES / NO,4. Information invented? YES / NO,5. Names/numbers corrupted? YES / NO,6. Natural for a native speaker? 1-5,7. Grammar? 1-5,8. Would you trust this in a real private chat? YES / NO,9. Corrected translation (optional),10. Note (optional)
30,ig2en-fc7e7cd156,ig->en,negation,ekwughị m na agaghị m abịa.,I didn't say that I wouldn't come.,,,,,,,,,,
31,ig2en-f411f17171,ig->en,account,Ịkwụ ụgwọ akaụntụ 0123456789 na First Bank.,Payment account 0123456789 at First Bank.,,,,,,,,,,
32,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,"Mgbe ị rutere, kpọọ m na 0312 (onye dị otu narị puku na puku iri anọ na puku isii).",,,,,,,,,,
33,en2ig-1d7dd44c13,en->ig,account,Transfer to account 0123456789 at First Bank.,IHE ndekọ e nwetara n'aka mmadụ 01279 n'Ụlọ Akụ̀ Ndị Mbụ.,,,,,,,,,,
34,ig2en-fa3cb14070,ig->en,money,"Biko ziga mmadụ 45,000 n'ihe ndekọ m taa.","Please send 45,000 people to my report today.",,,,,,,,,,
35,en2ig-a0a4a5bcb2,en->ig,conversation,How are you doing this evening?,Olee otú i si eme ná mgbede a?,,,,,,,,,,
36,ig2en-4fa4004bdb,ig->en,negation,Unu ezipụla ụgwọ ahụ a kwụrụ unu n'oge ahụ.,Do not send out the reward back to you at that time.,,,,,,,,,,
37,ig2en-cfa7a8c72e,ig->en,account,IHE ndekọ e nwetara n'aka mmadụ 01279 n'Ụlọ Akụ̀ Ndị Mbụ.,THE report from 012 was found at First Bank.,,,,,,,,,,
38,ig2en-8c762d366f,ig->en,otp,Usoro nchịkọta gị bụ 483920.,Your registration code is 483920.,,,,,,,,,,
39,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Unu ezipụla ụgwọ ahụ a kwụrụ unu n'oge ahụ.,,,,,,,,,,
40,en2ig-56f3fcf2dd,en->ig,negation,Do not send the payment yet.,Ọ bụrụ na ị na-enweghị ịkwụ ụgwọ.,,,,,,,,,,
41,en2ig-d5a0e11861,en->ig,entity,My name is Zoe and I work in Lagos.,"Aha m bụ Christianse, mụnwa na - arụkwa ọrụ na Lagos.",,,,,,,,,,
42,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,M na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ.,,,,,,,,,,
43,en2ig-c75594d68a,en->ig,health,Do not give this medicine to a child under five years old.,Enyela nwatakịrị na - erubeghị afọ ise ọgwụ a.,,,,,,,,,,
44,ig2en-50317c6f9f,ig->en,broadcast,"N'ụtụtụ, onye ọ bụla na - ege ntị n'ozi ọma a, na - anabatakwa ya.","In the morning, everyone listens to and accepts the good news.",,,,,,,,,,
45,en2ig-37b3b74f61,en->ig,broadcast,"Good morning everyone, and welcome to this broadcast.","Good morning niile, na-atụ anya na a broadcast.",,,,,,,,,,
46,en2ig-4f74e365cb,en->ig,otp,Your verification code is 483920. Do not share it.,Usoro nchịkọta gị bụ 483920.,,,,,,,,,,
47,en2ig-782a9275f2,en->ig,multi,I am on my way. Please wait for me at the gate. I will be there soon.,"Biko, chere m n'ọnụ ụzọ ámá: m ga - anọ n'ebe ahụ n'isi nso.",,,,,,,,,,
48,en2ig-e325f732cb,en->ig,phone,Call me on 08031234567 when you arrive.,Kpọọ m na 08031234567 mgbe ị na-abịa.,,,,,,,,,,
49,ig2en-b5ae958e0f,ig->en,broadcast,"Good morning niile, na-atụ anya na a broadcast.","Good morning all, looking forward to a broadcast.",,,,,,,,,,
50,ig2en-db8de7dd75,ig->en,negation,Ọ bụ ezie na m ga-abụghị.,It is even though I shouldn’t.,,,,,,,,,,
51,ig2en-aba40ffdae,ig->en,money,Ọ bụ ezie na m na-enweta ego ị na-enweta.,It’s even though I get the money you get.,,,,,,,,,,
52,en2ig-49876fdb23,en->ig,long,"Thank you for your message. I have spoken to the supplier and the goods will arrive on Friday morning. Please make sure somebody is at the shop to receive them, and call me if there is any problem with the delivery.","Unu emeela maka ozi unu. Agwara m ndị na - ere ihe na ngwá ahịa ndị a ga - abịa n'ụtụtụ Friday. Biko, hụ na mmadụ nọ n'ụlọ ahịa ahụ ịnara ha, ma jụọ m ma è nwere nsogbu dị n'ihe ọmụmụ ahụ.",,,,,,,,,,
53,ig2en-237a0f3413,ig->en,money,E nyeghị m ego ahụ i zitere m.,I didn't have the money you sent me.,,,,,,,,,,
54,ig2en-06ce83c1c7,ig->en,datetime,Nyocha a na-agba ọsọ na 15 March na 4:30.,This review runs on 15 March at 4:30.,,,,,,,,,,
55,ig2en-664d222013,ig->en,long,"Unu emeela maka ozi unu. Agwara m ndị na - ere ihe na ngwá ahịa ndị a ga - abịa n'ụtụtụ Friday. Biko, hụ na mmadụ nọ n'ụlọ ahịa ahụ ịnara ha, ma jụọ m ma è nwere nsogbu dị n'ihe ọmụmụ ahụ.","Thank you for your ministry, and I told the merchants that these items would come on Friday morning. Please see if someone was in the shop to accept them, and ask if there was any problem in the study.",,,,,,,,,,
56,en2ig-7b2a4cf6d8,en->ig,negation,I did not say that I would not come.,ekwughị m na agaghị m abịa.,,,,,,,,,,
57,en2ig-59f9f626be,en->ig,money,"Please send 45,000 naira to my account today.","Lelee 45,000 naira ka m akaụntụ taa.",,,,,,,,,,
58,ig2en-00707e2322,ig->en,multi,M na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ na-agba ọsọ.,I drive speed and drive speed and drive speed and drive speed.,,,,,,,,,,
59,ig2en-6124885eab,ig->en,long,"Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. Ka ọ bụrụ na onye ọ bụla bụ na ụlọ ahịa na-enweta ha, na-akpọ m ma ọ bụrụ na e nwere ihe ọ bụla nsogbu na nnyefe.","Thank you for your message. I am talking to the supplier and the goods will arrive on Friday morning. If anyone is in the store to receive them, call me if there is any problem with delivery.",,,,,,,,,,
60,en2ig-33489d6292,en->ig,datetime,The meeting has been moved to 15 March at 4:30.,Ọ bụ n'abalị iri na ise n'ọnwa Mach ka e mere ka ọmụmụ ihe ahụ gaa n'abalị iri na ise n'ọnwa Mach.,,,,,,,,,,
